timestamp,memory_usage_bytes
0,694505472
1,732790784
2,732790784
3,732790784
4,732790784
5,732790784
6,732790784
7,732790784
8,732790784
9,732790784
10,732790784
11,732790784
12,732790784
13,732790784
14,732790784
15,732790784
16,771272704
17,775933952
18,841326592
19,841326592
20,841326592
21,841326592
22,841326592
23,841326592
24,841326592
25,841326592
26,841326592
27,841326592
28,841326592
29,841326592
30,841326592
31,841326592
32,879611904
33,879611904
34,821727232
35,821727232
36,821727232
37,821727232
38,821727232
39,822382592
40,822382592
41,822382592
42,822382592
43,822382592
44,822382592
45,822382592
46,822382592
47,860663808
48,860663808
49,878702592
50,878702592
51,878702592
52,878702592
53,878702592
54,878702592
55,878702592
56,878702592
57,878702592
58,878702592
59,878702592
60,878702592
61,878702592
62,878702592
63,900452352
64,862208000
65,862208000
66,862208000
67,862208000
68,862208000
69,862208000
70,862208000
71,862208000
72,862208000
73,862208000
74,862208000
75,862208000
76,900493312
77,900493312
78,862208000
79,862208000
80,862208000
81,862208000
82,862208000
83,862208000
84,862208000
85,862208000
86,862208000
87,862208000
88,862208000
89,900489216
90,900489216
91,900489216
92,900489216
93,900489216
94,900489216
95,900489216
96,900489216
97,900489216
98,900489216
99,900489216
100,900489216
101,900489216
102,900489216
103,900489216
104,900489216
105,862208000
106,862208000
107,862208000
108,862208000
109,862208000
110,862208000
111,862208000
112,862208000
113,862208000
114,862208000
115,862208000
116,900493312
117,900493312
118,900493312
119,900493312
120,1207808000
121,1207808000
122,1207808000
123,1207808000
124,1213263872
125,823754752
126,823754752
127,823754752
128,823754752
129,823754752
130,823754752
131,823754752
132,823754752
133,823754752
134,823754752
135,823754752
136,823754752
137,823754752
138,823754752
139,823754752
140,823754752
141,823754752
142,823754752
143,823754752
144,823754752
145,823754752
146,823754752
147,823754752
148,823754752
149,823754752
